Article Title: Digital Doppelgangers: Anatomy of Evolving Impersonation Campaigns Distributing Gh0st RAT
Article Link: https://unit42.paloaltonetworks.com/impersonation-campaigns-deliver-gh0st-rat/
Note: Below is a comma separated value (CSV) list of domains associated with the campaign identified in this article.

Domain	Hosting IP Address	First Seen Date/Time
163vip-music[.]vip	156.251.25[.]112	2025-03-11 16:50:23 UTC
a1.huazun1[.]top	211.149.140[.]19	2025-05-14 18:37:52 UTC
a1.huazun1[.]top	95.173.197[.]195	2025-04-29 11:59:26 UTC
a1.jinzhichen[.]cn	206.238.220[.]34	2025-03-27 18:44:40 UTC
a1.jinzhichen[.]cn	95.173.197[.]195	2025-04-13 20:12:14 UTC
a1.jstji[.]cn	95.173.197[.]195	2025-04-25 18:10:30 UTC
a1.tgxiuxiu[.]top	95.173.197[.]195	2025-05-04 04:34:55 UTC
a1.xiuxuntg[.]top	95.173.197[.]195	2025-05-04 06:49:50 UTC
a1.zhongqm[.]cn	206.238.220[.]34	2025-04-06 00:58:57 UTC
a1.zhongqm[.]cn	95.173.197[.]195	2025-04-13 17:23:14 UTC
a10.huazun1[.]top	95.173.197[.]195	2025-04-30 08:54:40 UTC
a10.jinzhichen[.]cn	206.238.220[.]34	2025-03-27 18:48:04 UTC
a10.jinzhichen[.]cn	95.173.197[.]195	2025-04-13 20:06:48 UTC
a10.jstji[.]cn	95.173.197[.]195	2025-04-25 18:40:30 UTC
a10.tgxiuxiu[.]top	95.173.197[.]195	2025-05-04 04:36:24 UTC
a10.zhongqm[.]cn	206.238.220[.]34	2025-04-06 01:04:54 UTC
a10.zhongqm[.]cn	95.173.197[.]195	2025-04-13 18:26:14 UTC
a11.edvdfh[.]cn	154.82.68.86	2025-01-17 09:26:18 UTC
a11.edvdfh[.]cn	95.173.197[.]195	2025-04-28 08:55:43 UTC
a11.huazun1[.]top	95.173.197[.]195	2025-04-30 16:28:00 UTC
a11.jinzhichen[.]cn	206.238.220[.]34	2025-03-27 18:46:19 UTC
a11.jinzhichen[.]cn	95.173.197[.]195	2025-04-13 20:09:14 UTC
a11.jstji[.]cn	95.173.197[.]195	2025-04-25 18:43:29 UTC
a11.tgxiuxiu[.]top	95.173.197[.]195	2025-05-04 04:41:22 UTC
a11.zhongqm[.]cn	206.238.220[.]34	2025-04-06 01:11:15 UTC
a11.zhongqm[.]cn	95.173.197[.]195	2025-04-13 18:26:18 UTC
a12.edvdfh[.]cn	95.173.197[.]195	2025-04-28 09:40:01 UTC
a12.huazun1[.]top	95.173.197[.]195	2025-05-01 03:44:18 UTC
a12.jinzhichen[.]cn	206.238.220[.]34	2025-03-27 14:32:05 UTC
a12.jinzhichen[.]cn	95.173.197[.]195	2025-04-13 20:08:15 UTC
a12.jstji[.]cn	95.173.197[.]195	2025-04-25 18:44:29 UTC
a12.tgxiuxiu[.]top	95.173.197[.]195	2025-05-04 04:42:26 UTC
a12.zhongqm[.]cn	206.238.220[.]34	2025-04-06 01:05:15 UTC
a12.zhongqm[.]cn	95.173.197[.]195	2025-04-13 18:28:14 UTC
a13.edvdfh[.]cn	95.173.197[.]195	2025-04-28 09:49:09 UTC
a13.huazun1[.]top	95.173.197[.]195	2025-04-30 09:03:27 UTC
a13.jinzhichen[.]cn	206.238.220[.]34	2025-03-27 18:49:59 UTC
a13.jinzhichen[.]cn	95.173.197[.]195	2025-04-13 20:10:14 UTC
a13.jstji[.]cn	95.173.197[.]195	2025-04-25 18:39:34 UTC
a13.tgxiuxiu[.]top	95.173.197[.]195	2025-05-04 04:41:04 UTC
a13.zhongqm[.]cn	206.238.220[.]34	2025-04-06 01:13:15 UTC
a13.zhongqm[.]cn	95.173.197[.]195	2025-04-13 18:28:14 UTC
a14.edvdfh[.]cn	95.173.197[.]195	2025-04-28 09:38:19 UTC
a14.huazun1[.]top	95.173.197[.]195	2025-04-30 16:41:26 UTC
a14.jinzhichen[.]cn	206.238.220[.]34	2025-03-27 18:51:03 UTC
a14.jinzhichen[.]cn	95.173.197[.]195	2025-04-13 20:10:14 UTC
a14.jstji[.]cn	95.173.197[.]195	2025-04-25 18:47:30 UTC
a14.tgxiuxiu[.]top	95.173.197[.]195	2025-05-04 04:48:26 UTC
a14.zhongqm[.]cn	206.238.220[.]34	2025-04-06 01:13:15 UTC
a14.zhongqm[.]cn	95.173.197[.]195	2025-04-13 18:21:07 UTC
a15.edvdfh[.]cn	95.173.197[.]195	2025-04-28 09:41:55 UTC
a15.huazun1[.]top	211.149.140[.]19	2025-05-15 10:07:03 UTC
a15.huazun1[.]top	95.173.197[.]195	2025-04-30 09:16:08 UTC
