First seen,Initial URL,Landing URL,Final URL
5/1/2024,tracker.club-os[.]com/campaign/click?utp=consumer&&msgId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=plantaspurificadoras[.]com/[.]sbud/tlkruonajo/fgdshajtrdhss/bc1qtgum47lrgswtds/[IPv4 address]/[recipient's email address],hxxp://plantaspurificadoras[.]com/.sbud/tlkruonajo/fgdshajtrdhss/bc1qtgum47lrgswtds/[internal IPv4 address]/[targeted email address],hxxps://cloudflare-ipfs[.]com/ipfs/bafybeidttzbqjpfkwqqfxykad6xwlvtcxuyglqxpnkhrvnsrcccgd5j73q#[targeted email address]
5/1/2024,travellink.onelink[.]me/6W7x?pid=TransactionalEmails&af_adset=ConfirmationEmail&af_ad=ConfirmationEmail_ICE_ICE3171_A_PRIME_KEEP1792_A&is_retargeting=true&af_web_dp=hxxps://singpass-api[.]com/.tmp/___WDBG___[base64 string],hxxps://ournewkindofnormal[.]com//wp-includes/pomo/jayb/lobatan/[targeted email address],hxxps://onlineservice.municipalwelland[.]com/?jay=[targeted email address]
5/2/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=splendidanimations[.]com/[targeted email address]/[base64 string],hxxp://splendidanimations[.]com/[targeted email address]/[base64 string],hxxps://service-out-login.tylins[.]com/[targeted email address]
5/3/2024,go.onelink[.]me/107872968?pid=InProduct&c=Global_Internal_YGrowth_AndroidEmailSig__AndroidUsers&af_wl=ym&af_sub1=Internal&af_sub2=Global_YGrowth&af_sub3=EmailSignature&af_web_dp=hxxps://brandqube-uae[.]com/lr/lrl2wt/[base64 string],hxxps://brandqube-uae[.]com/lr/lrl2wt/[base64 string]=?pid=InProduct&c=Global_Internal_YGrowth_AndroidEmailSig__AndroidUsers&af_wl=ym&af_sub1=Internal&af_sub2=Global_YGrowth&af_sub3=EmailSignature,hxxps://www.integratedcancercare[.]ca/wp-content/plugins/real/dls/chameleon/index.html#[targeted email address]
5/3/2024,tracker.club-os[.]com/campaign/click?msgId=40CHAR&target=babasturizm[.]com/costin/nymb/coartst/aouth/[base64 string],hxxp://babasturizm[.]com/costin/nymb/coartst/aouth/[base64 string],hxxps://[random prefix].workers[.]dev/?qrc=[targeted email address]
5/3/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=revistaegle[.]com/revistaegle/revistaegle/[base64 string],hxxps://revistaegle[.]com/revistaegle/revistaegle/[base64 string],hxxps://sa2ds.3kf2d[.]com/sa2ds/#[targeted email address]
5/3/2024,walmart.onelink[.]me/UIev?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA&af_dp=walmart%3A%2F%2Fhome&af_web_dp=hxxps%3A%2F%2Fprodukte-testen[.]com/hfYEH73/smie-ejnf839921JUHDhs/18080Wirtgen-Group291tjelgd/[base64 string],hxxps://produkte-testen[.]com/hfYEH73/smie-ejnf839921JUHDhs/18080Wirtgen-Group291tjelgd/[base64 string]?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA,hxxps://balazs.com[.]au/kenns/wp-admin/REDIRECT/aVB7r9/[targeted email address]
5/5/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=hxxps://remoinmobiliaria[.]com/.sbud/Kercus/[base64 string],hxxps://remoinmobiliaria[.]com/.sbud/Kercus/[base64 string],hxxps://loginserviciodecorreo.evolutlons[.]tv/serviciodecorreo/#[targeted email address]
5/6/2024,[random previx].go[.]link/?c=se&s=l&vt=shop&adjust_t=j3uz6z_5ij79t&adjust_campaign=crm_bra_mix_gro_ma_%7B%7Bcampaign[.]$%7Bname%7D%7D%7D_%7B%7Bcampaign[.]$%7Bapi_id%7D%7D%7D_ct-VerticalsTrial&adjust_deeplink=onlinepizza%3A%2F%2F%3Fc%3Dse%26s%3Dl%26vt%3Dshop&adjust_redirect=hxxps://everychildeducationmatters[.]com//readme/admin/[base64 text]/[base64 text]&adjust_reftag=[base64 text]&adjust_t=5ij79t&adjust_iredirect=hxxps%3A%2F%2Feverychildeducationmatters[.]com%2F%2Freadme%2Fadmin%2F[base64 text]%2F[base64 text]&adjust_notrack=1,hxxps://everychildeducationmatters[.]com//readme/admin/[base64 text],hxxps://naive-bed.surge[.]sh#[email address]
5/6/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://healthboxdubai[.]com/af/5166/[base64 string],hxxps://healthboxdubai[.]com/af/5166/ZWJyYWRmb3JkQG1yaWdsb2JhbC5vcmc=?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=[targeted email address]
5/6/2024,speedpython[.]com/wp-includez/adminaccess/cgi-ins/hcsfedsukygfrhi/index.php?userid=[targeted email address],N/A,hxxps://email.efficiencys[.]shop/networking.aspx?core=[targeted email address]
5/7/2024,walmart.onelink[.]me/UIev?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA&af_dp=walmart://home&af_web_dp=hxxps://[random string and target's username].energycomercio[.]com[.]br/ireYds83/uhrY6etd/[random string and target's username]/[base64 string],hxxps://[random string and target's name].energycomercio[.]com[.]br/ireYds83/uhrY6etd/[random string and target's name]/[base64 string]?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA,hxxps://serenity[.]inf[.]br/GoogleCaptcha.html#[targeted email address]
5/8/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=//buildingcompetency[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string],hxxps://buildingcompetency[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=[targeted email address]
5/8/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://banyan-edu[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string],hxxps://banyan-edu[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=ammar_[targeted email address]
5/8/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://ethart[.]co[.]uk/getit/[base64 string]/[internal IPv4 address]/[base64 string],hxxps://ethart[.]co[.]uk/getit/[base64 string]/[internal IPv4 address]/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=[targeted email address]
